Date,Days-since-Jan-1-1900,S&P-Index
13-Sep-21,44451,4468.73
6-Sep-21,44444,4458.58
30-Aug-21,44437,4535.43
23-Aug-21,44430,4509.37
16-Aug-21,44423,4441.67
9-Aug-21,44416,4468.00
2-Aug-21,44409,4436.52
26-Jul-21,44402,4395.26
19-Jul-21,44395,4411.79
12-Jul-21,44388,4327.16
5-Jul-21,44381,4369.55
28-Jun-21,44374,4352.34
21-Jun-21,44367,4280.70
14-Jun-21,44360,4166.45
7-Jun-21,44353,4247.44
31-May-21,44346,4229.89
24-May-21,44339,4204.11
17-May-21,44332,4155.86
10-May-21,44325,4173.85
3-May-21,44318,4232.60
26-Apr-21,44311,4181.17
19-Apr-21,44304,4180.17
12-Apr-21,44297,4185.47
5-Apr-21,44290,4128.80
29-Mar-21,44283,4019.87
22-Mar-21,44276,3974.54
15-Mar-21,44269,3913.10
8-Mar-21,44262,3943.34
1-Mar-21,44255,3841.94
22-Feb-21,44248,3811.15
15-Feb-21,44241,3906.71
8-Feb-21,44234,3934.83
1-Feb-21,44227,3886.83
25-Jan-21,44220,3714.24
18-Jan-21,44213,3841.47
11-Jan-21,44206,3768.25
4-Jan-21,44199,3824.68
28-Dec-20,44192,3756.07
21-Dec-20,44185,3703.06
14-Dec-20,44178,3709.41
7-Dec-20,44171,3663.46
30-Nov-20,44164,3699.12
23-Nov-20,44157,3638.35
16-Nov-20,44150,3557.54
9-Nov-20,44143,3585.15
2-Nov-20,44136,3509.44
26-Oct-20,44129,3269.96
19-Oct-20,44122,3465.39
12-Oct-20,44115,3483.81
5-Oct-20,44108,3477.14
28-Sep-20,44101,3348.42
21-Sep-20,44094,3298.46
14-Sep-20,44087,3319.47
7-Sep-20,44080,3340.97
31-Aug-20,44073,3426.96
24-Aug-20,44066,3508.01
17-Aug-20,44059,3397.16
10-Aug-20,44052,3372.85
3-Aug-20,44045,3351.28
27-Jul-20,44038,3271.12
20-Jul-20,44031,3215.63
13-Jul-20,44024,3224.73
6-Jul-20,44017,3185.04
29-Jun-20,44010,3130.01
22-Jun-20,44003,3009.05
15-Jun-20,43996,3097.74
8-Jun-20,43989,3041.31
1-Jun-20,43982,3193.93
25-May-20,43975,3044.31
18-May-20,43968,2955.45
11-May-20,43961,2863.70
